time,I,Q,U,V,EVPA,P,uplim,bolim
10.35565333336126,2.5597777458822137,-0.07324227664853712,-0.2239243616575414,-0.02383504729344072,-54.056069480027375,0.2355982827450112,-0.019356607731461976,-0.0273433738921559
10.357346666569356,2.555675029564135,-0.07200298127671265,-0.22456394887408151,-0.022685735068406526,-53.888825102744114,0.23582492753450754,-0.01936681564386223,-0.02732643518549746
10.35846666659927,2.545006858347035,-0.07153632024635932,-0.22181230300710805,-0.024460106962990627,-53.93747240355881,0.23306252997791557,-0.01939420804507573,-0.027305224328647903
10.359586666629184,2.549631297170293,-0.07137162748601968,-0.22215323985010238,-0.02408412258040066,-53.90538023558986,0.23333660489923194,-0.01939564452751458,-0.027305963400130893
10.360706666659098,2.5573868244935904,-0.07210757043511301,-0.221037697153247,-0.02500542184483953,-54.03375739955841,0.2325019683290129,-0.019533740430411214,-0.027145549812546195
10.362400000041816,2.5478998143042535,-0.07149856603458654,-0.21964904620561476,-0.023329677527635036,-54.015364798099974,0.23099296189286464,-0.019508169877984538,-0.027165923910637824
10.363519999897107,2.5488680623402913,-0.07280822390447238,-0.2174118384706254,-0.023115370255397855,-54.257493398777484,0.2292791856564854,-0.019515375450194394,-0.027143208822926482
10.364639999927022,2.551018218283617,-0.07228811883561277,-0.21979199872185712,-0.02340169372152863,-54.10284486752819,0.23137436078126833,-0.019573400635696903,-0.02707938758449921
10.365759999956936,2.5626061377058234,-0.07235916681945194,-0.21931235146840852,-0.023238338091315154,-54.12980647118985,0.23094102392041138,-0.019587146380182253,-0.027059104308412033
10.367453333339654,2.574925175866552,-0.07245883754276515,-0.2178546231294401,-0.02431278691797345,-54.19860881012717,0.22958858847277058,-0.0195432242652662,-0.027096517928103258
10.368573333369568,2.5732672233147365,-0.07214518345542437,-0.21765207125369124,-0.02282205197606841,-54.16941116995538,0.2292975176857323,-0.019560582896031617,-0.027072338745269785
10.369693333224859,2.5646266303207543,-0.07109788810514114,-0.2153828393360192,-0.024355400385220306,-54.1340298854222,0.2268141908555473,-0.01956821166410277,-0.027057533642643298
10.370813333254773,2.560423912779028,-0.07082365575134186,-0.21464242662996544,-0.02215048907751435,-54.13044054508495,0.22602513471643962,-0.019487678541189057,-0.027139894929034184
10.372506666637491,2.5693092191561506,-0.07093905082167641,-0.2166701343343824,-0.02242832292911059,-54.064372486796564,0.2279874909813249,-0.01950605556074765,-0.027109475324446075
10.37586666655261,2.584986175818141,-0.07135698528420435,-0.21442593697654286,-0.023623594332077242,-54.203244123037514,0.22598739300482779,-0.019363972511970574,-0.027245211346537786
10.379799999995157,2.576401094807902,-0.07040534029821659,-0.20957390460563388,-0.022083024842954043,-54.28476272426141,0.2210839963320706,-0.01957612923112625,-0.02705997493470771
10.384853333292995,2.5864933160878563,-0.07127037880231048,-0.20699488503790817,-0.02376543196094851,-54.49954517714174,0.21892087457910825,-0.019535557250994585,-0.02713221755155167
10.393840000033379,2.5977711488461357,-0.06787289511607204,-0.20425161361223876,-0.02447792432685547,-54.19083421896344,0.21523348149077687,-0.019645297749012212,-0.027141632472582916
10.394960000063293,2.600175838147546,-0.06859014589070764,-0.2055580099572382,-0.024243563289093092,-54.22635508227026,0.2166995698447244,-0.019646108111499302,-0.02716333584085519
10.398893333331216,2.587937853788853,-0.06676337721433624,-0.20399495562929323,-0.023730819619247404,-54.061106662404526,0.2146422382926088,-0.0195723774596297,-0.027350309606433535
10.40001333336113,2.6077380994792634,-0.06651800168864681,-0.20349917209611956,-0.023357987148954772,-54.050536685688314,0.21409473975896023,-0.019477191529587913,-0.02749569653634614
10.403946666803677,2.607784693012879,-0.06415409017511313,-0.20463796802729436,-0.022829733167587917,-53.703115142586924,0.21445849305759962,-0.019251794320285995,-0.027893156959949268
10.405066666658968,2.5983426147792947,-0.06518371180432289,-0.20269290875594034,-0.021673177955433196,-53.913597274757635,0.21291625476823742,-0.01915777601337671,-0.028046616330704682
